編號,攤名,區域,電話,地址
1,50年代台北蚵仔麵線,中區,0910-581982,中華路一段199號及199前
2,丁山肉圓,中區,22264409,中正路202號
3,丸一鮮魚行,中區,22222611,三民路二段第二市場 內
4,丸文食品,中區,36086789,光復路30-1號
5,丸先鮮魚行,中區,22225169,第二公有市場內26號
6,中華麻糬大王,中區,22024229,中華路二段4號前
7,中華路大麵羹,中區,22256053,中華路一段217號
8,公園口大麵羹,中區,0919-029131,三民路3段13號
9,周記餛飩,中區,22259182,中華路一段122號
10,府城藥燉排骨湯,中區,0987-462215,中華路一段45號前
11,阿全割包擔、阿全木瓜牛乳,中區,22276690,中華路與中正路路口
12,茂川肉丸,中區,22277477,中正路225號之1
13,陳中華路四十年老店雞蛋蚵仔煎,中區,22273193,中華路一段197號
14,嵐肉燥專賣店,中區,0937-430100,第二市場內36、37號
15,榮豐食品,中區,22211553,三民路二段2-11號
16,瑪露連冰品店,中區,22288359 / 0912-698199,中正路133號
17,福州意麵老店,中區,22204335,三民路第二市場內
18,萬家香南京板鴨食品行,東區,22260083,建國路228號
19,民生市場肉羹麵,南區,22259717,國光路2巷19-1號
20,姊弟冷熱飲食,南區,0939-581171,民意街29之1號
21,新發古早味肉粽滿月油飯,南區,0932-627107,和平街21號對面
22,慶峰饅頭店,南區,22268056,民意街29號(第三市場內)
23,丸東商號,西區,22279299,第五市場內8號
24,不一樣饅頭店,西區,22258785,民生路87號
25,阿得嘉義米糕,西區,23026786,中興街63號
26,阿琴龜粿專賣店,西區,23029996,向上路向上市場巷27號
27,梁婆婆臭豆腐店,西區,0988-652886,美村路一段312號
28,壹等涼餐飲鋪,西區,0933-491199,四維街五號
29,中臺天下第一粉,北區,22357991,梅亭街253號
30,半月燒餡餅店,北區,0916-882321,育才南街31號
31,李氏蒸餃世家,北區,22013588,篤行路218號
32,富山珍米食之家,北區,0936-956342,三民路三段214之16
33,丁記炸粿,北屯區,0955-952749,太原路3段41號
34,牛元園,北屯區,0956-993250,榮華街12號
35,東東芋圓專賣店,北屯區,22396349,北屯區東山路二段48-3號
36,阿湖自助餐,北屯區,0932-633699,北屯區北平路 4 段 68 號
37,龍媽媽古早味,北屯區,0933-538171,北屯區河北路三段123號
38,鵝房宮,北屯區,0933-446507,遼寧路一 段376號
39,86碳烤雞排,西屯區,0987-098715,逢甲路20巷20號
40,一家之薯,西屯區,0931-663857,文華路69號對面
41,大丁日式豚骨拉麵,西屯區,24519717,文華路121-31號
42,小A烤鴨夾餅,西屯區,0935-226905,文華路43號對面
43,小A起司洋芋,西屯區,0935-226905,文華路43號對面
44,心之鄉清蒸肉圓,西屯區,24510622,西屯路2段269-29號
45,日船章魚小丸子,西屯區,0923-341323,文華路69號
46,北平四方烤鴨夾餅,西屯區,0920-178898,逢甲夜市文華路特色區55號
47,台北江記麻辣臭豆腐,西屯區,0927-570699,逢甲路78號
48,成龍果汁,西屯區,0912-380949,文華路39號對面
49,成龍雞排,西屯區,0921-040981,文華路39號對面
50,吳記QQ腸粉,西屯區,0921-717035,文華路上
51,味珍香大腸包小腸,西屯區,0937-766285,文華路55巷口
52,咕咕雞商行,西屯區,0931-684829,重慶路180號
53,逢甲地瓜球,西屯區,0912-697580,文華路特色區
54,魚要醬吃,西屯區,0915-628117,文華路33號對面
55,鵝媽媽鵝肉攤,西屯區,0910-480895,華美西街二段27號
56,繼光香香雞,西屯區,23956426,文華路71之1號
57,佳香味炭烤胡椒餅,南屯區,0952-325323,五權西路二段59號
58,資豐美食,南屯區,0919-033083,南屯路二段593號
59,霧峰牛乳大王,霧峰區,23302899,民主街26號
60,丸仔斌,豐原區,25260504,市前街88號2樓20號
61,丸和商號,豐原區,25223009,府前街162巷29號
62,小林無骨鵝肉小吃店,豐原區,0930-041111,圓環西路169號
63,米吉米食天地,豐原區,25293558,府前街市中巷34號
64,阿旺澄食堂,豐原區,0926-137149,圓環西路78號
65,后里墩仔腳肉丸,后里區,25566107,墩北里四村路121號
66,炸粿生,后里區,0921-737201,后里第一公有零售市場內
67,菇神商行,新社區,0952-928929,協成里協中街287號
68,源味香黑胡椒肉干,大雅區,25669165,大雅市場內10號
69,大肚燕肉羹,大肚區,26994969,頂街里自由路886號(大肚市場內)
70,阿珍?舖,大肚區,26995398,頂街里育樂街19號
71,歌王豆花,梧棲區,26562255,雲集街2號
72,太祖魷魚羹,清水區,26277263,中社里鎮政路81號
73,王塔米糕,清水區,26223299,北寧里中興街30之1號
74,阿美美食,清水區,26237087,鎮北街9號
75,阿榮米糕店,清水區,26277765,中社里鎮政路87號
76,連發行,清水區,26232366,新興路21-20號
77,陳媽媽麵食,清水區,26261525,鎮政路97號1樓
78,蓮和食品行,清水區,26222703,鎮北街9號
79,小胖麵線,大甲區,0911-765035,蔣公路139號
80,真香珍肉鬆店,大甲區,26875340,順天路146號
81,元明商店,中區,22298866,自由路二段41號
82,太陽堂老店食品有限公司,中區,22200012,自由路二段25號
83,台中太陽堂餅店,中區,22222662,自由路2段23號
84,萬益食品,中區,22257766,中山路213號1F
85,青田小舖養生館,東區,0928-417840,仁和路449號
86,賈家道口燒雞,東區,0955-822803,南京路155-2號
87,三廣食品,南區,23051105,台中路92號
88,萬味香食品行,南區,22268877,台中路94號
89,蔡記油飯,南區,22606869,建國南路一段137號
90,采棠肴鮮餅鋪,西區,24722299,東興路三段46號1樓
91,湯本烘焙坊,西區,23206908,東興路三段105號
92,嘉味軒食品行,西區,23012180,模範街12巷5號
93,馨品鄉食品行,西區,22060585,民權路238號
94,卡但屋食品有限公司,北區,0919-712691,民權路408號
