車號,金額,油品
0665-G3,634,95無鉛汽油
0666-G3,452,95無鉛汽油
0687-WD,1050,95無鉛汽油
1059-WD,1271,95無鉛汽油
1059-WD,1245,95無鉛汽油
3819-QH,723,超級柴油
3819-QH,525,超級柴油
4069-WD,1240,95無鉛汽油
4069-WD,1132,95無鉛汽油
4071-WD,910,95無鉛汽油
4071-WD,1129,95無鉛汽油
4071-WD,942,95無鉛汽油
4206-C3,620,95無鉛汽油
4206-C3,1175,95無鉛汽油
4206-C3,1305,95無鉛汽油
4211-ZG,1503,95無鉛汽油
4211-ZG,910,95無鉛汽油
4211-ZG,516,95無鉛汽油
4212-ZG,1146,95無鉛汽油
4212-ZG,841,95無鉛汽油
4212-ZG,1163,95無鉛汽油
4512-G2,1009,95無鉛汽油
4512-G2,1260,95無鉛汽油
4512-G2,1024,95無鉛汽油
4513-G2,737,95無鉛汽油
4513-G2,895,95無鉛汽油
4515-G2,877,95無鉛汽油
4515-G2,1012,95無鉛汽油
4517-G2,1155,95無鉛汽油
4517-G2,1180,95無鉛汽油
4518-G2,589,95無鉛汽油
4518-G2,555,95無鉛汽油
4586-ZG,570,95無鉛汽油
4586-ZG,955,95無鉛汽油
4586-ZG,1159,95無鉛汽油
4587-ZG,1125,95無鉛汽油
4587-ZG,1118,95無鉛汽油
4602-ZG,570,95無鉛汽油
4602-ZG,1243,95無鉛汽油
4602-ZG,500,95無鉛汽油
4602-ZG,845,95無鉛汽油
4618-ZG,921,95無鉛汽油
4618-ZG,1133,95無鉛汽油
4618-ZG,1080,95無鉛汽油
4619-ZG,869,95無鉛汽油
4619-ZG,1174,95無鉛汽油
4619-ZG,1175,95無鉛汽油
4672-WE,1197,95無鉛汽油
4672-WE,1184,95無鉛汽油
4675-WE,1222,95無鉛汽油
4675-WE,1209,95無鉛汽油
4900-UR,500,95無鉛汽油
4900-UR,600,95無鉛汽油
4932-WD,300,95無鉛汽油
4932-WD,989,95無鉛汽油
4932-WD,1025,95無鉛汽油
4937-WD,846,95無鉛汽油
4937-WD,974,95無鉛汽油
4938-WD,1053,95無鉛汽油
4938-WD,759,95無鉛汽油
4938-WD,1118,95無鉛汽油
6505-F8,1309,95無鉛汽油
6505-F8,930,95無鉛汽油
6505-F8,500,95無鉛汽油
6591-UR,890,95無鉛汽油
6591-UR,1108,95無鉛汽油
6591-UR,500,95無鉛汽油
6591-UR,959,95無鉛汽油
7528-PS,2130,95無鉛汽油
8523-XY,916,95無鉛汽油
8523-XY,561,95無鉛汽油
8523-XY,632,95無鉛汽油
8523-XY,834,95無鉛汽油
8523-XY,929,95無鉛汽油
8525-XY,1453,95無鉛汽油
8525-XY,1036,95無鉛汽油
8525-XY,1240,95無鉛汽油
ABY-2097,811,95無鉛汽油
ABY-2097,1107,95無鉛汽油
ABY-2097,882,95無鉛汽油
ABY-2100,813,95無鉛汽油
ABY-2100,1002,95無鉛汽油
ACE-9588,309,95無鉛汽油
ACE-9588,611,95無鉛汽油
ACE-9588,535,95無鉛汽油
ACE-9588,570,95無鉛汽油
ACE-9588,340,95無鉛汽油
